distance,read_0,read_1,read_2,read_3,read_4,read_5,read_6,read_7,read_8,read_9
16.0,1997,0,351,921,1087,1271,0,383,407,0,
16.1,1779,257,1183,0,0,1475,0,0,0,0,
16.2,555,2977,667,2423,1136,0,53,0,0,0,
16.3,0,244,0,283,0,13,0,0,0,333,
16.4,128,1747,1581,0,1147,176,0,0,867,0,
16.5,149,2517,2695,201,0,13,0,0,29,5,
16.6,48,189,0,781,0,265,460,0,0,64,
16.7,0,561,0,1249,80,0,409,0,73,131,
16.8,1443,431,0,29,0,80,0,0,0,2795,
16.9,0,77,69,0,0,0,0,0,315,0,
17.0,0,3047,171,0,53,21,791,1099,773,1019,
17.1,51,0,189,321,0,31,64,43,0,256,
17.2,0,3229,0,513,477,0,512,0,2752,595,
17.3,153,0,1871,1641,1,0,0,309,11,207,
17.4,3059,0,0,0,61,1169,0,4095,113,0,
17.5,2325,1337,219,105,0,1795,40,456,0,0,
17.6,2461,697,0,201,797,0,805,0,1087,0,
17.7,0,145,27,221,1069,0,1809,2419,3024,0,
17.8,4095,240,299,188,35,817,1203,701,0,401,
17.9,0,0,589,377,224,3368,2355,0,1459,0,
18.0,437,999,328,93,0,124,1585,2093,0,393,
18.1,585,0,201,0,69,2457,55,133,0,0,
18.2,223,271,1,0,0,0,0,168,293,2893,
18.3,143,0,809,0,31,0,2547,2657,403,0,
18.4,131,16,121,736,3305,2273,0,2857,0,0,
18.5,0,19,0,0,2037,3920,11,0,1731,953,
18.6,748,1001,491,0,925,779,0,1460,1255,193,
18.7,173,8,0,501,120,0,2803,0,0,1024,
18.8,577,0,77,447,1847,40,0,4095,2011,0,
18.9,89,211,1159,2045,0,0,0,496,333,496,
19.0,621,0,13,2551,0,1923,2527,2811,69,29,
19.1,59,0,2484,53,0,91,0,1173,0,0,
19.2,
