distance,read_0,read_1,read_2,read_3,read_4,read_5,read_6,read_7,read_8,read_9
16.0,189,152,111,105,105,137,157,197,269,319,
16.1,373,424,445,445,433,392,357,313,265,196,
16.2,149,107,89,96,97,129,147,201,281,332,
16.3,381,433,433,423,400,369,337,292,229,185,
16.4,145,97,91,88,117,159,201,257,319,373,
16.5,417,441,440,429,397,349,305,257,187,145,
16.6,97,85,83,80,109,161,211,292,345,393,
16.7,421,435,423,397,362,337,288,229,177,137,
16.8,91,85,86,97,144,178,237,323,376,427,
16.9,448,449,433,396,360,321,267,199,152,111,
17.0,92,93,90,126,176,239,309,371,421,449,
17.1,461,442,425,389,339,305,241,193,153,109,
17.2,105,105,128,152,192,251,333,393,421,444,
17.3,441,427,397,356,323,269,200,156,109,93,
17.4,89,91,124,161,230,305,363,419,444,456,
17.5,447,421,389,340,299,232,188,150,105,101,
17.6,109,125,165,210,277,331,388,419,435,439,
17.7,424,389,349,309,256,196,145,98,87,76,
17.8,85,112,154,209,281,330,385,410,425,419,
17.9,401,364,329,287,225,180,137,91,82,88,
18.0,89,133,164,229,308,364,412,437,437,425,
18.1,393,357,316,264,197,149,108,88,88,85,
18.2,113,161,217,291,344,399,421,436,429,408,
18.3,376,345,309,245,205,160,123,119,123,144,
18.4,165,211,272,328,385,418,443,442,428,401,
18.5,363,325,272,205,163,117,99,111,101,137,
18.6,169,217,293,348,399,425,444,435,398,381,
18.7,350,309,251,213,172,132,105,111,125,167,
18.8,204,268,326,385,413,440,441,429,397,355,
18.9,321,264,204,157,113,95,99,104,132,157,
19.0,205,277,337,387,415,428,421,403,369,334,
19.1,296,224,185,148,97,89,90,103,145,181,
19.2,248,324,381,433,455,453,445,413,369,337,
19.3,284,221,176,135,105,109,106,133,156,213,
19.4,287,341,395,423,441,428,413,377,349,315,
19.5,256,184,144,101,89,93,101,124,197,257,
19.6,317,370,421,445,455,435,413,369,337,284,
19.7,219,173,133,95,93,95,123,169,225,300,
19.8,357,409,440,453,445,424,392,345,300,237,
19.9,196,157,112,100,113,129,144,180,237,320,
20.0,376,427,450,453,441,408,363,331,280,212,
20.1,175,133,95,97,85,125,152,205,285,341,
20.2,392,423,435,425,401,371,351,308,248,206,
20.3,169,124,117,128,108,164,197,261,313,369,
20.4,417,444,443,431,405,364,328,273,211,168,
20.5,128,91,88,81,113,163,204,277,330,385,
20.6,413,425,427,401,361,341,301,238,193,153,
20.7,109,97,105,116,159,197,256,311,369,415,
20.8,441,443,433,412,364,330,277,213,173,128,
20.9,91,85,80,95,153,199,268,327,383,427,
21.0,445,428,417,384,336,289,237,188,148,104,
