distance,read_0,read_1,read_2,read_3,read_4,read_5,read_6,read_7,read_8,read_9
16.0,2195,3790,4095,4095,4095,4095,4095,3927,3482,2211,
16.1,965,0,0,0,0,0,0,0,408,1519,
16.2,3004,4095,4095,4095,4095,3976,4047,3621,2847,1815,
16.3,16,0,0,0,0,0,0,253,985,2157,
16.4,3811,4095,4095,4095,4095,4095,4070,3380,2351,984,
16.5,0,0,0,0,0,0,0,597,1501,3003,
16.6,4095,4095,4095,4095,4095,4067,3494,2767,1944,0,
16.7,0,0,0,0,0,4,497,800,2154,3769,
16.8,4095,4095,4095,4095,4077,3717,3243,2423,969,0,
16.9,0,0,0,0,0,0,633,1419,2911,4095,
17.0,4095,4095,4095,4095,4062,3594,3036,1736,73,0,
17.1,0,0,0,0,0,211,873,2127,3766,4095,
17.2,4095,4095,4095,4095,4027,3377,2341,1033,0,0,
17.3,0,0,0,0,0,437,1545,2979,4095,4095,
17.4,4095,4095,4095,4095,3508,3145,1640,105,0,0,
17.5,0,0,0,0,357,1039,2145,3808,4095,4095,
17.6,4095,4095,4095,3742,3277,2420,789,0,0,0,
17.7,0,0,17,120,469,1639,3094,4095,4095,4095,
17.8,4095,4054,4017,3647,2909,1719,45,0,0,0,
17.9,0,0,172,465,896,2275,3799,4095,4095,4095,
18.0,4095,4071,4049,3304,2307,849,0,0,0,0,
18.1,0,0,80,716,1653,3114,4095,4095,4095,4095,
18.2,4095,3924,3660,2747,1600,35,0,0,0,0,
18.3,0,0,389,957,2239,3866,4095,4095,4095,4095,
18.4,4074,3988,3109,2284,715,0,0,0,0,0,
18.5,0,139,704,1625,2915,4095,4095,4095,4095,4095,
18.6,4026,3655,2934,1575,0,0,0,0,0,0,
18.7,25,249,1045,2225,3823,4095,4095,4095,4095,4001,
18.8,3679,3365,2079,689,0,0,0,0,0,0,
18.9,0,695,1416,2987,4095,4095,4095,4095,4095,4062,
19.0,3404,3081,1539,0,0,0,0,0,0,0,
19.1,189,1231,2125,3893,4095,4095,4095,4095,4016,4015,
19.2,3073,2355,831,0,0,0,0,0,0,128,
19.3,733,1569,3105,4095,4095,4095,4095,4095,3845,3395,
19.4,2901,1717,0,0,0,0,0,25,0,205,
19.5,1016,2253,3887,4095,4095,4095,4095,3998,3912,3277,
19.6,2131,805,0,0,0,0,0,0,7,449,
19.7,1604,2935,4095,4095,4095,4095,4058,4013,3779,2893,
19.8,1697,0,0,0,0,0,0,0,265,1085,
19.9,2141,3860,4095,4095,4095,4095,4095,3859,3161,2305,
20.0,754,0,0,0,0,0,0,201,721,1525,
20.1,3181,4095,4095,4095,4095,4095,4036,3616,2807,1536,
20.2,0,0,0,0,0,0,25,204,883,2141,
20.3,3924,4095,4095,4095,4095,3994,4018,3333,2159,775,
20.4,0,0,0,0,0,0,0,499,1451,3100,
20.5,4095,4095,4095,4095,4095,4018,3624,2698,1749,77,
20.6,0,0,0,0,0,48,395,923,2307,3906,
20.7,4095,4095,4095,4095,4095,3715,3299,2232,739,0,
20.8,0,0,0,0,0,83,549,1719,3113,4095,
20.9,4095,4095,4095,4069,3761,3637,2803,1509,0,0,
21.0,0,0,0,0,0,477,1067,2357,3879,4095,
