distance,read_0,read_1,read_2,read_3,read_4,read_5,read_6,read_7,read_8,read_9
16.0,11,3,83,107,1769,627,2977,3104,25,0,
16.1,9,857,0,0,155,0,0,0,560,21,
16.2,0,271,75,1536,0,1019,19,660,901,575,
16.3,0,0,0,139,3341,217,485,1055,15,269,
16.4,129,1067,57,88,0,0,3135,0,0,41,
16.5,0,96,0,0,112,0,0,157,0,0,
16.6,1167,0,0,2361,0,4095,1496,760,0,0,
16.7,733,0,605,1139,1659,1035,808,0,0,831,
16.8,1015,45,4095,1742,273,99,0,505,99,0,
16.9,863,545,0,72,3,0,0,1143,0,0,
17.0,1177,1813,0,1099,0,313,889,1573,0,0,
17.1,251,284,0,1180,0,27,389,0,109,789,
17.2,787,5,0,3252,0,753,0,1,173,447,
17.3,0,0,2095,0,0,0,643,0,0,2467,
17.4,0,3997,353,4081,0,853,0,91,5,0,
17.5,0,0,613,685,0,81,25,95,0,1171,
17.6,2059,0,0,0,1141,12,843,0,0,841,
17.7,0,0,2713,148,0,1189,85,409,847,2365,
17.8,35,0,4061,557,437,1552,791,801,677,0,
17.9,0,0,0,189,0,333,0,0,159,1141,
18.0,3183,0,1280,95,869,1,1371,0,1483,1872,
18.1,777,0,3169,159,11,593,0,0,2783,21,
18.2,0,3390,12,681,877,79,201,0,17,3217,
18.3,241,2741,0,0,83,0,0,3045,57,157,
18.4,159,200,165,97,103,63,0,0,4095,257,
18.5,0,1167,1957,15,1577,0,0,256,227,0,
18.6,2583,1729,65,413,0,0,0,173,0,785,
18.7,0,441,139,12,0,899,1039,2781,291,0,
18.8,1681,0,680,0,0,1,0,143,163,0,
18.9,169,673,0,0,0,0,0,0,1277,0,
19.0,2717,120,0,0,491,529,2139,2597,251,0,
19.1,2909,0,1181,1849,1,77,1481,3041,2207,2388,
19.2,1208,0,923,45,2313,801,0,0,2822,4095,
19.3,532,23,0,0,435,261,1,1145,91,4051,
19.4,72,384,0,0,611,3647,271,420,3047,256,
19.5,653,0,0,0,339,481,1695,567,925,0,
19.6,1471,863,336,0,1391,265,820,0,49,823,
19.7,0,0,0,207,0,0,728,2103,4095,0,
19.8,507,0,1401,401,0,695,2473,101,57,1527,
19.9,0,0,0,659,621,0,108,251,2201,1001,
20.0,1051,655,0,304,2892,0,777,117,265,0,
20.1,0,0,0,1133,3090,0,2235,0,255,34,
20.2,0,139,0,3604,2969,1219,0,0,0,1337,
20.3,223,755,0,183,0,0,2004,0,105,0,
