distance,read_0,read_1,read_2,read_3,read_4,read_5,read_6,read_7,read_8,read_9
28.0,431,3977,497,3343,683,3907,568,2895,633,2840,
28.14,460,3554,411,3403,0,3785,413,2756,781,3159,
28.28,365,2730,0,3071,0,2776,229,2681,0,3432,
28.42,769,2745,0,2619,0,3497,789,3473,895,3901,
28.56,593,3116,777,3048,1032,2991,416,2572,313,2600,
28.7,729,3304,917,3604,904,3384,813,3326,645,2501,
28.84,824,3518,764,2349,0,3286,405,2216,771,2733,
28.98,0,2118,893,2729,1176,3248,553,1841,1167,1901,
29.12,0,2837,869,2991,1617,4095,1411,1499,336,3491,
29.26,720,3618,1669,3428,1479,3494,2610,2035,1872,3504,
29.4,1373,3368,2372,1027,1536,3413,3225,2453,0,1900,
29.54,1132,3647,2813,2517,2404,2488,900,655,2496,496,
29.68,0,389,2448,2563,2322,2625,2724,3094,2760,144,
29.82,2888,975,982,2613,29,4019,2056,3370,3012,3280,
29.96,2866,3959,0,4095,1629,0,2659,2832,1290,0,
30.1,2558,1000,0,1365,0,2000,1863,2951,4087,3116,
30.240000000000002,2388,1536,2973,0,0,735,2852,0,3301,2822,
30.38,2515,2443,3289,3314,3043,0,1733,2613,3356,0,
30.52,3357,2011,0,0,2393,2412,1625,3290,0,2096,
30.66,0,3063,1689,2833,1299,0,0,2428,945,3449,
30.8,3313,2332,3144,1021,1599,3624,3260,3142,1297,2644,
30.94,2649,3441,959,1120,3223,4095,3204,0,3173,0,
31.08,2549,4068,3216,2309,1051,0,0,1445,3037,3826,
31.22,0,3200,1537,0,0,3021,1665,2111,2597,3260,
31.36,3306,2012,0,1735,3616,1033,1204,1226,0,2615,
31.5,1461,1781,3693,1348,2595,3957,2963,3201,2025,2728,
31.64,136,2092,3103,3086,137,0,4095,1522,3267,1549,
31.78,2664,2859,4095,2030,2757,1901,3824,3673,2763,2638,
31.92,2132,1812,2589,0,657,2811,3423,2512,3396,789,
32.06,929,0,2699,2589,3422,3084,2772,2145,2368,1601,
32.2,1117,0,4095,837,2923,1333,2356,2241,1400,0,
32.34,3410,239,2863,1241,4095,0,2755,781,3099,1520,
32.480000000000004,3297,0,3266,0,1933,1229,2986,1313,2743,2197,
32.62,3209,1143,3127,1223,2281,1167,2320,851,2400,989,
32.76,3449,1087,3314,0,3417,721,3549,611,3104,668,
32.9,3440,393,3628,936,3541,703,2616,473,3501,11,
33.04,3317,691,2739,907,2571,428,3454,1183,3364,1005,
33.18,3373,348,3200,996,3228,977,2472,460,2454,933,
33.32,3198,818,3345,836,3536,402,3380,0,2542,687,
33.46,2536,0,3569,436,2503,840,3304,0,3356,561,
33.6,4090,589,3408,691,2950,237,3502,0,2893,787,
33.74,3005,287,3336,857,3657,861,3406,1030,2249,973,
33.88,3465,476,3419,1137,2901,985,3881,0,3136,809,
34.02,4095,1057,3079,89,3394,1013,3449,1653,4095,1101,
34.16,2705,2252,2530,1176,2608,1657,2276,2154,3475,1965,
34.3,4030,1624,1809,808,4095,1482,4095,2250,2580,1228,
34.44,3429,1904,3331,0,1781,0,4095,0,3641,2555,
34.58,3298,1865,1182,1421,1701,3037,2856,684,3270,0,
34.72,260,2800,2395,2669,0,0,3035,0,503,0,
34.86,1555,3059,3181,0,1548,0,1852,616,2273,1907,
35.0,891,0,3104,3213,3205,3284,0,683,0,2225,
