distance,read_0,read_1,read_2,read_3,read_4,read_5,read_6,read_7,read_8,read_9
12.0,0,48,328,0,0,521,0,0,433,61,
12.1,543,3947,489,0,0,312,0,377,0,0,
12.2,2963,651,0,0,417,1323,599,0,0,0,
12.3,0,104,43,767,0,117,0,3203,29,828,
12.4,0,0,80,0,0,507,1137,0,0,1037,
12.5,1627,153,7,161,1091,1093,0,0,0,4095,
12.6,31,13,319,439,128,103,0,103,0,0,
12.7,0,0,0,873,1525,0,0,0,1023,1029,
12.8,345,0,0,0,531,48,1163,0,1105,640,
12.9,268,0,1505,933,2095,0,0,50,0,2773,
13.0,439,0,0,1285,1403,0,0,0,3181,0,
13.1,901,0,1203,0,23,1375,2423,2687,993,0,
13.2,575,23,13,0,0,153,0,0,1304,0,
13.3,29,228,61,165,956,695,899,169,24,212,
13.4,1225,0,695,1933,183,0,175,0,0,0,
13.5,485,175,0,743,153,152,0,0,0,0,
13.6,623,351,279,0,128,0,3001,0,1448,9,
13.7,24,0,63,2621,248,3571,595,153,0,41,
13.8,0,0,239,296,249,1689,147,189,0,0,
13.9,0,573,0,0,73,568,1203,903,0,1625,
14.0,0,0,952,128,0,0,51,0,505,159,
14.1,0,1051,0,2795,1975,651,93,2791,83,61,
14.2,105,2764,493,1949,1391,232,77,189,203,0,
14.3,2241,913,2689,1139,3317,4095,759,11,757,792,
14.4,88,0,285,0,269,0,36,0,275,0,
14.5,211,3,0,0,1173,0,984,0,0,148,
14.6,1813,0,240,0,77,1521,68,121,0,113,
14.7,59,0,0,900,0,895,703,325,459,0,
14.8,0,4095,0,539,1123,0,185,0,0,139,
14.9,0,2795,3079,1109,653,0,23,37,13,457,
15.0,0,493,0,157,21,663,879,387,291,1023,
15.1,0,277,3558,256,833,0,0,832,1113,447,
15.2,1192,113,2809,1231,752,0,21,0,1,13,
15.3,121,0,153,0,522,595,0,0,704,13,
15.4,0,385,189,281,1287,103,0,421,0,100,
15.5,0,457,4095,887,0,0,0,0,201,989,
15.6,867,2321,0,0,287,0,145,0,133,201,
15.7,0,0,0,1,0,61,0,310,1791,487,
15.8,0,1183,0,0,8,1119,973,141,3949,0,
15.9,2157,1269,1856,355,0,19,875,0,30,4095,
16.0,256,387,0,433,281,359,0,1249,1,187,
16.1,0,87,0,0,473,0,361,1371,0,3216,
16.2,2632,1011,888,5,19,433,0,1363,3,2857,
16.3,0,1467,671,0,1137,825,21,0,223,126,
16.4,0,17,169,0,781,65,0,2865,889,0,
16.5,276,0,639,649,0,3,0,71,1207,0,
16.6,781,87,16,32,867,1023,627,0,0,0,
16.7,0,397,103,1781,0,4088,59,4095,4095,0,
16.8,685,749,653,143,0,1281,0,913,41,85,
16.9,0,341,41,9,0,1472,0,0,1896,3520,
17.0,0,1165,121,469,809,0,0,878,1269,241,
