distance,read_0,read_1,read_2,read_3,read_4,read_5,read_6,read_7,read_8,read_9
25.0,567,565,561,569,581,568,579,560,545,581,
25.16,557,584,559,587,573,572,582,573,569,575,
25.32,548,565,565,587,565,580,568,572,581,595,
25.48,567,586,545,585,575,598,524,583,573,564,
25.64,568,579,561,560,541,585,569,581,579,589,
25.8,572,579,569,589,581,588,573,584,563,577,
25.96,564,582,581,569,573,583,571,577,565,577,
26.12,569,536,576,571,577,564,571,573,569,580,
26.28,569,584,561,573,569,568,569,577,575,564,
26.44,564,581,553,584,569,588,565,581,567,573,
26.6,564,575,575,577,581,548,566,569,571,573,
26.76,569,576,583,575,553,605,559,581,575,653,
26.92,573,608,569,568,587,584,569,581,564,590,
27.08,565,591,572,560,571,573,581,569,576,570,
27.240000000000002,561,595,557,573,571,572,577,565,584,563,
27.4,577,569,565,572,564,564,575,568,584,568,
27.56,576,569,568,576,536,572,553,581,560,569,
27.72,581,569,569,557,570,569,547,581,568,555,
27.88,568,573,564,559,575,552,553,575,548,578,
28.04,557,593,569,549,566,559,565,553,556,579,
28.2,540,553,565,548,552,561,566,553,561,574,
28.36,549,589,543,583,537,571,549,560,548,558,
28.52,541,563,540,575,539,553,512,561,568,554,
28.68,561,561,552,558,538,565,533,573,538,563,
28.84,552,551,561,564,557,557,549,561,536,552,
29.0,540,547,549,543,559,557,556,552,512,557,
29.16,529,557,549,549,559,537,566,551,548,513,
29.32,553,565,533,560,536,553,549,553,543,552,
29.48,543,585,525,560,523,564,531,560,547,559,
29.64,540,561,533,579,521,575,529,561,540,555,
29.8,548,559,555,568,527,548,541,569,533,555,
29.96,549,544,563,576,559,529,545,565,537,593,
30.12,541,569,529,561,549,561,545,565,529,584,
30.28,528,568,535,568,543,567,546,556,543,561,
30.44,533,569,547,560,536,560,549,549,552,571,
30.6,541,556,539,568,526,561,550,568,548,562,
30.759999999999998,561,563,543,572,545,556,534,575,533,560,
30.92,573,559,561,560,557,584,539,560,536,555,
31.08,557,559,564,560,558,553,552,561,548,559,
31.240000000000002,529,561,543,557,565,563,563,564,561,573,
31.4,541,573,545,572,528,572,557,561,560,575,
31.560000000000002,567,575,549,564,539,572,542,567,564,571,
31.72,561,575,553,576,537,569,530,577,529,595,
31.88,563,571,577,569,536,583,553,565,550,577,
32.04,551,537,581,565,573,560,555,561,544,581,
32.2,543,575,571,564,568,477,583,553,540,570,
32.36,553,574,553,573,577,528,573,569,585,560,
32.52,564,571,560,568,557,561,570,555,577,555,
32.68,564,563,560,573,554,572,573,568,575,555,
32.84,545,559,569,574,562,581,578,561,576,563,
33.0,589,556,581,556,570,555,573,559,568,564,
