distance,read_0,read_1,read_2,read_3,read_4,read_5,read_6,read_7,read_8,read_9
16.0,724,0,1838,833,3777,923,1777,1577,2798,3413,
16.1,3851,3805,2492,3443,3362,2094,2261,1629,737,654,
16.2,0,744,689,2763,3978,1028,2885,3726,3419,3386,
16.3,2381,4095,3429,3519,53,987,2031,0,0,703,
16.4,1625,511,723,0,0,3793,2760,3859,3747,4095,
16.5,2508,645,4095,3285,0,1976,641,0,713,1243,
16.6,0,1650,0,0,3805,3745,3994,4095,3492,3688,
16.7,951,3585,1038,0,3022,2033,0,248,656,972,
16.8,2713,3496,0,3449,2396,1649,2973,4095,3938,3015,
16.9,598,3528,3553,1753,0,0,697,556,0,2119,
17.0,2869,3405,4095,1621,3805,4095,4095,3726,3074,3670,
17.1,269,0,0,3477,0,0,25,281,1643,2614,
17.2,0,3518,141,3678,1741,3952,3716,3628,3726,3149,
17.3,0,3517,0,0,752,728,563,1181,769,2957,
17.4,2545,0,1616,3059,3667,4095,3865,2115,3653,120,
17.5,3657,3885,1520,1821,991,587,865,0,1942,3202,
17.6,3635,2689,3770,2693,3449,4095,3741,3157,3597,2078,
17.7,3430,1723,2333,1250,37,381,0,1823,0,3426,
17.8,0,1529,1489,3549,3657,3148,3684,3151,2216,3456,
17.9,3251,2020,965,47,0,0,1586,2870,3079,0,
18.0,3341,3077,3111,4095,3979,3681,3776,3284,1752,3322,
18.1,2264,1593,0,592,93,1417,2389,1470,267,2730,
18.2,3732,1828,3679,3274,3392,1884,3652,3186,2177,2938,
18.3,2693,1632,220,260,241,1969,0,1080,2776,3502,
18.4,3819,2152,4015,3179,3490,1120,3508,39,3025,3120,
18.5,2201,488,671,809,1170,1945,0,1328,3444,3026,
18.6,3275,3046,4095,3085,3952,3540,1750,1455,0,2572,
18.7,1739,8,209,0,1929,2889,847,1197,2547,1171,
18.8,2217,3726,4095,2133,3685,3409,3938,1572,2897,420,
18.9,841,11,0,1395,1131,3381,0,0,2656,1751,
19.0,3612,4095,2773,3749,2618,3210,1093,665,899,0,
19.1,0,289,1068,2893,0,3359,1946,3668,2292,3912,
19.2,3273,4095,3714,3671,63,1481,0,2929,1424,831,
19.3,57,0,1083,2288,1908,3579,3601,1283,3508,3120,
19.4,3874,2691,3801,3616,932,3111,1617,2371,1412,0,
19.5,543,1045,0,3803,0,1753,3637,3234,3845,3907,
19.6,4054,3828,4095,56,781,1673,2680,0,749,36,
19.7,829,2545,392,4050,0,201,2441,1949,3710,3514,
19.8,3823,1420,3628,0,3505,0,2153,1265,672,97,
19.9,1161,1757,0,0,0,3986,3429,3587,4095,3853,
20.0,3888,3576,3627,3573,4092,2637,1881,759,780,697,
20.1,1932,2093,3589,737,3215,3139,3843,4095,3175,2448,
20.2,1169,1209,4095,1349,3023,965,1065,0,225,0,
20.3,0,3295,3354,3696,2092,3003,2730,4095,4040,3773,
20.4,3167,3588,355,3104,2079,323,501,0,859,0,
20.5,2634,0,907,3868,1805,3717,4095,4095,3673,1108,
20.6,3539,0,3791,2987,2069,383,40,725,379,3102,
20.7,3864,2134,3520,3662,1605,2769,4095,3482,3146,597,
20.8,653,3642,1030,2704,0,741,853,0,2084,0,
20.9,0,3530,3621,3752,2249,4095,3539,3055,3472,52,
21.0,2623,4095,2923,2042,0,593,681,792,561,3141,
