distance,read_0,read_1,read_2,read_3,read_4,read_5,read_6,read_7,read_8,read_9
16.0,332,863,661,1971,433,113,3144,256,1272,1705,
16.1,1707,352,1017,0,299,0,0,0,293,1401,
16.2,1325,441,713,73,0,0,2624,223,960,0,
16.3,3698,0,611,0,0,600,287,597,101,0,
16.4,1509,0,0,24,685,1109,0,0,176,0,
16.5,707,731,67,1203,131,0,693,53,231,75,
16.6,863,145,0,881,319,287,147,372,0,540,
16.7,192,16,101,859,0,265,541,2201,0,717,
16.8,1561,789,844,880,107,0,117,209,3214,435,
16.9,0,0,0,49,3297,1637,1900,137,211,0,
17.0,0,0,0,0,417,2493,1192,0,1257,93,
17.1,57,181,63,941,21,75,97,72,545,0,
