distance,read_0,read_1,read_2,read_3,read_4,read_5,read_6,read_7,read_8,read_9
50.0,333,330,329,333,329,329,328,329,325,329,
50.16,328,328,324,327,323,325,323,328,325,331,
50.32,325,328,324,329,323,329,323,324,325,328,
50.48,325,328,325,328,322,328,324,328,325,327,
50.64,324,328,321,325,323,327,322,327,325,328,
50.8,321,325,321,325,327,325,323,325,321,328,
50.96,321,328,324,325,320,325,321,325,321,323,
51.12,324,329,321,325,323,324,325,328,324,328,
51.28,324,325,325,325,322,325,321,328,321,324,
51.44,324,325,323,324,322,324,325,329,321,322,
51.6,324,325,325,325,325,324,325,327,325,328,
51.76,324,325,328,329,325,328,324,331,325,328,
51.92,328,329,329,329,328,328,327,329,324,330,
52.08,325,329,323,325,324,324,325,329,324,325,
52.24,328,329,326,329,329,328,325,328,325,328,
52.4,326,329,328,328,328,328,327,329,325,328,
52.56,324,325,323,327,324,326,328,329,325,328,
52.72,326,329,328,328,328,332,329,331,329,331,
52.88,332,332,329,329,329,328,328,333,328,331,
53.04,329,329,329,329,328,329,331,328,333,331,
53.2,328,329,328,329,331,328,329,331,329,330,
53.36,328,333,329,329,329,328,329,330,329,332,
53.52,332,332,333,332,333,329,331,331,332,331,
53.68,329,329,331,329,329,328,329,329,329,331,
53.84,332,328,333,329,330,328,329,331,332,329,
54.0,333,329,331,329,333,328,329,331,329,328,
54.16,328,329,329,332,328,325,329,328,328,328,
54.32,326,329,330,329,328,329,329,331,331,329,
54.480000000000004,328,329,333,325,330,328,329,331,332,331,
54.64,329,329,331,332,331,332,333,335,333,331,
54.8,328,329,331,333,331,329,331,331,329,331,
54.96,329,333,331,329,331,328,329,328,329,333,
55.12,328,328,328,325,328,326,333,325,325,328,
55.28,328,329,329,328,331,326,329,331,329,322,
55.44,325,328,332,328,328,329,329,328,329,328,
55.6,329,333,333,328,331,325,329,328,328,329,
55.76,328,332,331,329,328,328,333,331,329,329,
55.92,329,329,333,332,332,328,333,329,329,328,
56.08,332,329,332,325,329,327,332,328,332,328,
56.24,332,328,333,328,330,329,329,331,329,323,
56.4,332,329,331,329,328,328,329,329,329,328,
56.56,332,329,333,329,328,325,329,331,329,330,
56.72,332,329,331,329,333,326,332,331,332,330,
56.88,333,329,335,329,329,328,332,328,332,328,
57.04,332,333,334,329,330,329,333,325,333,331,
57.2,333,331,333,329,331,332,332,331,333,333,
57.36,333,329,329,328,331,327,329,328,333,328,
57.52,332,329,328,329,332,329,332,331,335,331,
57.68,333,328,333,333,337,328,333,329,336,330,
57.84,333,332,330,328,334,332,333,329,333,328,
58.0,332,328,332,328,331,328,329,328,329,328,
