distance,read_0,read_1,read_2,read_3,read_4,read_5,read_6,read_7,read_8,read_9
50.0,332,335,333,335,336,337,335,336,337,334,
50.16,336,337,337,335,335,337,337,336,339,340,
50.32,337,337,337,336,336,337,337,337,337,337,
50.48,336,337,337,336,337,337,338,333,338,336,
50.64,339,337,337,337,336,337,337,337,337,335,
50.8,336,337,337,333,333,333,335,333,334,332,
50.96,339,333,337,334,340,337,343,337,337,336,
51.12,337,337,337,335,340,337,339,335,337,332,
51.28,336,333,337,334,336,329,334,333,337,332,
51.44,333,329,333,331,336,329,336,329,332,330,
51.6,336,332,335,332,336,333,335,329,334,332,
51.76,333,331,332,329,332,329,337,329,334,332,
51.92,337,333,337,333,337,336,337,332,335,332,
52.08,336,334,340,337,336,336,337,333,336,335,
52.24,337,337,337,335,337,336,338,337,336,332,
52.4,337,337,336,334,337,337,337,336,336,335,
52.56,337,335,337,333,332,337,336,333,335,332,
52.72,336,334,337,333,336,333,335,333,335,332,
52.88,336,335,336,335,332,336,339,335,335,336,
53.04,337,337,333,336,332,336,335,333,335,336,
53.2,336,335,332,333,332,333,333,332,332,332,
53.36,332,334,333,334,329,333,334,333,337,332,
53.52,337,335,333,332,332,336,336,333,333,332,
53.68,336,331,333,335,334,336,335,333,336,333,
53.84,337,335,337,337,333,337,335,333,337,333,
54.0,336,335,333,333,332,333,335,333,333,332,
54.16,336,333,332,334,336,329,331,332,333,332,
54.32,333,332,337,337,336,336,337,337,335,336,
54.480000000000004,337,336,337,339,336,337,337,336,335,336,
54.64,336,335,337,335,332,336,337,333,333,333,
54.8,333,336,336,334,337,337,333,337,335,336,
54.96,336,339,333,337,336,337,335,336,332,336,
55.12,333,336,336,334,332,339,331,337,333,336,
55.28,336,333,337,332,332,339,333,336,335,337,
55.44,336,337,332,339,336,333,333,333,333,332,
55.6,332,337,332,332,333,337,330,333,331,336,
55.76,329,331,331,333,332,332,331,333,331,337,
55.92,331,337,335,335,333,336,333,336,335,334,
56.08,336,340,333,335,332,336,335,337,334,336,
56.24,336,339,332,338,337,337,339,337,334,337,
56.4,337,338,332,337,334,337,335,337,332,337,
56.56,332,336,333,335,335,336,335,337,335,337,
56.72,333,337,335,338,332,336,333,337,332,336,
56.88,337,337,333,337,332,337,337,337,334,336,
57.04,337,339,337,336,336,337,335,336,335,336,
57.2,337,336,337,336,336,336,339,337,336,336,
57.36,336,338,337,337,336,337,337,336,334,336,
57.52,337,336,336,337,336,341,337,333,335,332,
57.68,336,335,332,331,332,335,333,332,331,330,
57.84,333,331,328,331,332,333,333,333,335,333,
58.0,337,333,333,334,333,337,335,336,333,333,
