distance,read_0,read_1,read_2,read_3,read_4,read_5,read_6,read_7,read_8,read_9
25.0,802,1273,512,1222,519,1403,781,1297,525,1282,
25.1,714,1257,680,1231,895,1325,1017,1281,889,1292,
25.2,1105,1230,1003,1317,952,1145,1018,1223,844,1292,
25.3,520,1583,593,1411,521,1545,788,1592,693,1423,
25.4,718,1184,817,1517,736,1397,826,1335,847,1624,
25.5,512,1469,844,1121,429,1085,749,1192,876,1506,
25.6,659,1264,652,1270,816,1454,723,1397,997,1460,
25.7,932,1343,908,1283,689,1027,813,1435,869,1447,
25.8,611,1240,945,1355,1137,1379,1048,1281,984,1097,
25.9,847,1447,988,1100,616,953,861,972,729,1453,
26.0,1095,1241,905,877,913,1401,1019,1021,1000,877,
26.1,865,1109,1024,1301,671,980,655,1283,1149,863,
26.2,912,1161,959,1157,1064,1275,1145,1212,1284,1175,
26.3,1060,1252,1248,736,1197,1056,1143,729,1028,1072,
26.4,819,729,1163,1216,1168,1129,990,1104,1201,1154,
26.5,901,960,1313,701,1183,1163,1127,700,1305,1010,
26.6,1311,887,1245,1001,1071,1103,1451,997,1124,857,
26.7,1232,860,1392,1004,1444,841,1425,991,1271,1035,
26.8,1457,949,1052,960,1413,940,1513,527,1424,797,
26.9,1097,828,1131,509,1119,917,1371,520,1411,875,
27.0,1438,745,1508,864,1368,521,1277,912,1393,833,
27.1,1416,687,1516,743,1208,463,1227,628,1253,768,
27.2,1475,747,1457,737,1416,611,1569,652,1429,723,
27.3,1432,704,1528,605,1515,671,1532,612,1520,660,
27.4,1357,584,1547,501,1534,744,1572,657,1537,649,
27.5,1553,649,1563,596,1439,527,1453,588,1560,593,
27.6,
