distance,read_0,read_1,read_2,read_3,read_4,read_5,read_6,read_7,read_8,read_9
16.0,29,381,321,219,81,0,0,0,0,0,
16.1,9,59,133,237,367,477,553,557,512,457,
16.2,415,349,273,137,0,0,0,0,0,0,
16.3,24,87,180,305,408,495,555,539,480,437,
16.4,392,323,227,89,0,0,0,0,0,3,
16.5,48,127,237,375,479,553,569,519,471,433,
16.6,369,299,171,31,0,0,0,0,0,5,
16.7,75,159,273,381,489,559,543,483,442,405,
16.8,341,233,105,0,0,0,0,0,0,43,
16.9,111,221,353,459,537,567,512,467,439,377,
17.0,303,191,43,0,0,0,0,0,13,63,
17.1,171,265,369,479,545,547,499,453,407,351,
17.2,256,119,0,0,0,0,0,0,39,109,
17.3,211,344,445,531,561,521,461,421,379,309,
17.4,203,63,0,0,0,0,0,8,64,153,
17.5,257,360,463,541,543,495,459,413,357,273,
17.6,131,0,0,0,0,0,0,31,99,185,
17.7,308,421,513,561,521,465,437,381,321,217,
17.8,81,0,0,0,0,0,1,56,125,251,
17.9,393,473,551,563,513,448,419,344,273,141,
18.0,0,0,0,0,0,0,23,89,189,297,
18.1,413,489,561,529,483,441,397,321,221,85,
18.2,0,0,0,0,0,1,55,129,217,345,
18.3,455,531,549,505,457,425,363,289,169,19,
18.4,0,0,0,0,0,13,67,163,280,384,
18.5,479,545,527,481,435,400,321,227,101,0,
18.6,0,0,0,0,1,41,125,225,359,461,
18.7,545,569,517,457,413,357,273,165,19,0,
18.8,0,0,0,0,17,81,163,277,387,469,
18.9,541,531,483,449,412,341,251,128,0,0,
19.0,0,0,0,0,41,105,211,337,443,525,
19.1,565,521,452,429,371,307,193,51,0,0,
19.2,0,0,0,19,65,157,248,393,483,557,
19.3,553,497,461,419,361,273,121,0,0,0,
19.4,0,0,0,37,97,205,328,437,521,557,
19.5,521,465,433,368,321,219,77,0,0,0,
19.6,0,0,9,69,147,237,371,483,557,557,
19.7,497,471,429,369,281,147,5,0,0,0,
19.8,0,0,31,99,193,309,417,501,563,537,
19.9,477,447,391,327,221,75,0,0,0,0,
20.0,0,0,59,129,223,353,457,531,544,505,
20.1,465,429,369,289,167,17,0,0,0,0,
20.2,0,27,81,179,291,393,489,557,539,489,
20.3,448,393,331,233,101,0,0,0,0,0,
20.4,0,49,119,229,367,477,547,569,521,467,
20.5,433,377,305,181,41,0,0,0,0,0,
20.6,25,77,165,273,385,475,555,535,485,409,
20.7,399,329,231,113,0,0,0,0,0,1,
20.8,47,111,221,355,455,541,575,527,465,403,
20.9,361,297,181,43,0,0,0,0,0,21,
21.0,67,153,259,369,472,547,547,481,453,419,
