distance,read_0,read_1,read_2,read_3,read_4,read_5,read_6,read_7,read_8,read_9
16.0,3344,3702,1641,856,2901,2157,1255,891,0,0,
16.1,443,1087,1859,241,2389,483,2655,2728,3413,2917,
16.2,3624,3621,1191,3468,1529,1157,1439,1040,0,91,
16.3,401,0,2399,2357,1137,2795,2827,3719,3097,2961,
16.4,3717,2897,3626,2989,2071,1979,1021,581,309,0,
16.5,831,1819,0,2625,409,2463,3182,2853,3364,3843,
16.6,1897,3296,693,1001,1433,1296,673,0,0,1257,
16.7,1409,1987,1265,2349,2719,2601,3199,3149,3540,2407,
16.8,3389,3140,2733,0,1365,953,517,0,287,1286,
16.9,1825,0,2133,419,3051,2707,3323,2897,3614,3579,
17.0,3512,397,2713,2333,1297,601,0,365,1065,1335,
17.1,1241,1476,2696,1041,2895,2627,3475,3721,3622,3111,
17.2,2389,1623,2065,1577,945,337,115,449,1417,1967,
17.3,0,0,1117,1489,2844,3393,2995,3583,1729,911,
17.4,1340,993,0,0,105,325,555,1043,1641,1985,
17.5,2128,1451,3001,3139,3374,3690,3611,3610,1280,3357,
17.6,2342,1979,1579,0,359,525,701,1069,1565,2307,
17.7,23,1927,1605,3189,2949,3540,3695,3201,896,2905,
17.8,2393,173,0,0,0,0,0,1637,547,21,
17.9,1997,2991,3297,2765,3553,2825,2536,1211,2981,1465,
18.0,0,959,757,559,345,713,0,1817,2995,2075,
18.1,776,3075,2901,2849,3462,3627,3589,3119,2819,104,
18.2,0,1165,509,277,0,1169,1523,0,2187,2389,
18.3,3363,3049,3379,3130,3584,2047,3367,1845,2473,0,
18.4,1421,473,0,369,1048,1555,2327,320,2495,2717,
18.5,2653,3235,3410,2969,3802,4095,1799,2399,0,1441,
18.6,1013,588,343,0,0,1784,2071,0,508,3484,
18.7,3693,3009,2915,3707,1909,3161,1405,3128,1948,0,
18.8,633,31,0,843,269,1934,2477,2685,2807,3351,
18.9,3001,2881,3889,3386,1377,2853,341,2173,0,0,
19.0,0,0,253,724,1893,2395,2370,1659,2665,3111,
19.1,3065,3172,3608,2313,1457,2594,999,2319,0,0,
19.2,209,357,0,1577,0,721,2151,2949,3106,3323,
19.3,3371,3075,2265,1443,757,3474,1861,1557,911,0,
19.4,385,493,1221,0,429,0,2569,1355,2758,2812,
19.5,2947,2513,3576,2672,2918,233,841,832,473,141,
19.6,169,0,0,0,735,127,3389,3123,3523,3349,
19.7,3058,2277,3505,3242,2649,567,1123,364,391,339,
19.8,696,1413,0,447,0,2637,3121,3424,3304,3833,
19.9,2461,2399,957,1177,2681,335,1465,559,0,0,
20.0,0,0,597,2372,2727,2903,1891,3175,3105,3491,
20.1,2549,1344,1095,3027,2577,1293,445,369,0,144,
20.2,0,1864,1101,2339,2661,2911,3161,3369,3454,3341,
20.3,3549,3811,1169,2515,1681,0,0,0,392,1060,
20.4,941,0,1963,297,997,2937,3282,3548,3446,3639,
20.5,2615,2557,3639,17,979,0,0,0,427,1383,
20.6,351,0,965,623,3057,3185,3357,2905,3637,3769,
20.7,3060,447,2379,1823,0,601,0,411,0,425,
20.8,0,0,2289,2547,2769,2981,3474,3619,3555,3415,
20.9,1180,999,1946,1365,0,303,361,0,1341,1942,
21.0,2175,3151,1125,3103,2749,3447,3481,3144,3349,923,
