distance,read_0,read_1,read_2,read_3,read_4,read_5,read_6,read_7,read_8,read_9
50.0,4095,2993,3587,0,164,3097,1463,3035,3436,0,
50.16,69,925,3632,3047,2838,0,2886,0,1823,3085,
50.32,2212,2311,192,0,3660,2980,287,0,2826,2484,
50.48,3440,840,3515,1231,3472,2909,430,153,2698,0,
50.64,3468,2339,2718,2602,4095,2732,3337,0,1920,2465,
50.8,3215,2733,684,1673,2010,0,3501,2131,4095,2426,
50.96,3528,1700,3052,0,2324,1788,1024,2929,1241,0,
51.12,2239,0,2977,0,3289,2200,2932,0,3705,992,
51.28,3971,2271,3029,522,3959,2786,3709,2809,1472,1933,
51.44,3529,0,3252,0,3913,1241,3551,2639,3695,0,
51.6,1765,1289,3673,209,3686,640,3620,1503,2008,953,
51.76,3645,1289,3004,837,3814,1747,3823,0,3111,0,
51.92,3999,871,3132,1160,3685,0,3630,0,2279,411,
52.08,3459,1027,4071,1405,3745,429,2573,152,3268,919,
52.24,2626,340,3752,0,3265,781,3806,724,3661,0,
52.4,3319,561,2868,813,2938,127,3059,0,4095,564,
52.56,4067,464,4095,0,3860,369,3545,657,3314,609,
52.72,4071,633,3573,703,3983,0,3275,0,4095,0,
52.88,3771,578,3820,675,4095,763,3607,676,4095,565,
53.04,4095,819,3866,54,4095,379,3405,784,4095,17,
53.2,
